X,Y,OBJECTID,NAME,ADDRESS,TOWN,MUNICIPALITY,POSTAL_CODE,PHONE,FAX,PROFIT_TYPE,AGES,HOURS,INTERSECTION,SUBSIDY,ACCESSIBILITY,PARKING,WEBSITE,GlobalID,LANGUAGE,CWELCC
652280.004,4855587.831,728,"P.R.Y.D.E., William Dunbar",1030 Glenanna Road,PICKERING,PICKERING,L1V 5E5,(905) 626-2066,,0,44m - 12yrs, 6:30:00AM -  6:00:00PM,Glenanna Rd and Dixie Rd,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.prydelearningcentres.ca,{7E7E0BD3-3F94-4575-8DEF-2823290609BA},,Yes
678181.865,4863852.761,730,Lydia Trull Schoolage Program,80 Avondale Drive,COURTICE,CLARINGTON,L1E 3C2,(905) 442-4445,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Trulls and Avondale Drive,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{0B1A6EA6-9BDD-4586-B145-276A69877ECB},,Yes
665825.507,4860463.505,731,Whitby Early Learning & Child Care Centre,501 Dunlop Street East,WHITBY,WHITBY,L1N 1S8,(905) 668-4751,,0,18m - 6yrs, 7:00:00AM -  6:00:00PM,Reynolds St and Dunlop St East,Yes,Wheelchair Accessible Inside and Outside,Parking On site,http://www.durham.ca,{589474FB-0896-4E4A-8663-009D80C46E21},,Yes
660126.998,4855331.599,732,"P.R.Y.D.E., Southwood Park",28 Lambard Crescent,AJAX,AJAX,L1S 1M5,(905) 427-1435,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Harwood Ave and Dryer Drive,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.prydelearningcentres.ca,{4683A734-241A-40AD-83A5-ECB18C56ACEC},,Yes
673957.229,4863599.356,733,"EduKids Child Care, Harmony Oshawa",15 Harmony Road North,OSHAWA,OSHAWA,L1G 6K8,(905) 576-4677,,1,Infant - 12yrs, 6:30:00AM -  6:15:00PM,Harmony and King St,Yes,Wheelchair Accessible Not accessible,Parking On site,http://www.edukids.ca,{E7690794-7965-400C-AB34-FEA0AFEB57E6},,Yes
675483.298,4863204.1,734,St. John XXIII YMCA,195 Athabasca Street,OSHAWA,OSHAWA,L1H 7J2,(905) 904-0537,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Athabasca St. and Olive Ave,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{A6393786-5B01-4142-B789-9BB5B72F8B7E},,Yes
663261.432,4869264.757,735,Meadowcrest YMCA Before and After School Program,20 Vipond Road,BROOKLIN,WHITBY,L1M 1B3,(289) 927-6473,,0,44m - 12yrs, 7:00:00AM -  6:00:00PM,Baldwin and Winchester Rd,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.ymcagta.org,{6CCCFEB9-A405-4C1B-AE70-518C785AE09D},,Yes
652840.504,4856720.136,736,"P.R.Y.D.E., Maple Ridge",2010 Bushmill Street,PICKERING,PICKERING,L1X 2M2,(905) 831-4513,,0,18m - 12yrs, 7:00:00AM -  6:00:00PM,Liverpool and Finch,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.prydelearningcentres.ca,{7357FB22-5982-4BB7-B525-CF13C0538256},,Yes
650470.313,4852581.961,737,"Helping Hands Daycare, Rougemount",376 Kingston Road Unit 9,PICKERING,PICKERING,L1V 6K4,(905) 509-2115,,1,Infant - 12yrs, 6:30:00AM -  6:00:00PM,Rougemount and Kingston Road,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.helpinghandsdaycare.ca,{13094949-DA71-4875-A8FF-20A996998C70},,Yes
664773.93,4857918.956,738,"Schoolhouse Playcare, Whitby Shores",485 Whitby Shores Greenway,WHITBY,WHITBY,L1N 0G8,(905) 668-9258,,0,44m - 12yrs, 6:30:00AM -  6:30:00PM,Victoria and Brock St,Yes,Wheelchair Accessible Inside and Outside,"Parking On site, designated handicapped",http://www.schoolhouseplaycare.ca,{3B00D3A0-AC1D-4531-8AFB-C9CADF18A447},,Yes
