OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID,x,y
1,CC-OTH-001,123 TLC Preschool,Social Services,Child Care (Other),Child Care Centre,322 Queen St S,,Mississauga,ON,L5N 3E4,905-609-0881,https://peelchildcare.cioc.ca/record/CDR0554,Community-Based For-Profit Centre,No,11,93448,-8873466.06974018,5400662.24469625
2,CC-OTH-002,ABC Montessori II,Social Services,Child Care (Other),Child Care Centre,285 Matheson Blvd E,,Mississauga,ON,L4Z 1X8,905-568-1716,https://peelchildcare.cioc.ca/record/CDR0546,Community-Based For-Profit Centre,No,5,42542,-8867820.52648755,5407123.06768624
3,CC-OTH-003,Absolute Angels,Social Services,Child Care (Other),Child Care Centre,222 Salvation Rd,,Brampton,ON,L7A 0W9,905-970-0415,https://peelchildcare.cioc.ca/record/CDR0430,Community-Based For-Profit Centre,No,6,,-8886153.71446242,5416149.4149067
4,CC-PLP-001,Active Learning Centre (St. Thomas Aquinas) (PLASP),Social Services,Child Care (PLASP),Child Care Centre,25 Corporation Dr,,Brampton,ON,L6S 6A2,905-799-0685,https://peelchildcare.cioc.ca/record/CDR0397,School-Based Centre,No,8,,-8873367.25678062,5425139.61699153
5,CC-OTH-005,Advanced Care and Education Daycare,Social Services,Child Care (Other),Child Care Centre,5575 Bonnie St,,Mississauga,ON,L5M 0N8,905-270-4555,https://peelchildcare.cioc.ca/record/CDR0980,Community-Based Non-Profit Centre,No,10,294982,-8876031.85704562,5397518.46689913
6,CC-PLP-002,Agnes Taylor (PLASP),Social Services,Child Care (PLASP),Child Care Centre,80 Beech St,,Brampton,ON,L6V 1V6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0748,School-Based Centre,Yes,1,172865,-8878634.78485356,5418817.94532636
7,CC-PLP-003b,All Saints Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4105 Colonial Dr,,Mississauga,ON,L5L 4E8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0474,School-Based Centre,No,8,,-8873284.66176755,5393290.72634712
8,CC-PLP-004,Aloma Cr. (PLASP),Social Services,Child Care (PLASP),Child Care Centre,57 Aloma Cres,,Brampton,ON,L6T 2N8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1043,School-Based Centre,Yes,7,84476,-8872587.64074382,5420366.92617822
9,CC-OTH-010,Alpha Child Care I,Social Services,Child Care (Other),Child Care Centre,900 Peter Robertson Blvd ,10,Brampton,ON,L6R 1A2,905-458-4884,https://peelchildcare.cioc.ca/record/CDR0378,Community-Based For-Profit Centre,No,9,187302,-8877365.76018692,5426458.54325849
10,CC-OTH-009,Alpha's Preschool Academy,Social Services,Child Care (Other),Child Care Centre,6435 Erin Mills Pky,,Mississauga,ON,L5T 2H9,905-812-8880,https://peelchildcare.cioc.ca/record/CDR0596,Community-Based For-Profit Centre,No,11,326419,-8876683.61296709,5401743.73706216
11,CC-OTH-012,Angelic Treasures Christian Child Care,Social Services,Child Care (Other),Child Care Centre,6970 Vicar Gate,,Mississauga,ON,L5W 1G7,905-670-6614,https://peelchildcare.cioc.ca/record/CDR0548,Community-Based For-Profit Centre,No,11,212098,-8874302.26563591,5408917.63613521
12,CC-OTH-103,Jingbao Bilingual Children's Centre,Social Services,Child Care (Other),Child Care Centre,3195 Erindale Station Rd,,Mississauga,ON,L5C 1Y5,905-848-5332,https://peelchildcare.cioc.ca/record/CDR1140,Community-Based For-Profit Centre,No,6,28643,-8866336.459785,5397803.44475267
13,CC-OTH-017,Applewood Rainbow Montessori School,Social Services,Child Care (Other),Child Care Centre,24 Stavebank Rd,,Mississauga,ON,L5G 2T5,905-274-2321,https://peelchildcare.cioc.ca/record/CDR0576,Community-Based For-Profit Centre,No,1,,-8859602.14036732,5396500.16558147
14,CC-PLP-005,Arnott Charlton (PLASP),Social Services,Child Care (PLASP),Child Care Centre,140 Winterfold Dr,,Brampton,ON,L6V 1V6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0751,School-Based Centre,Yes,1,253608,-8879689.30724472,5421452.13018877
15,CC-PLP-006,Artesian Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3325 Artesian Dr,,Mississauga,ON,L5M 7J8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0717,School-Based Centre,Yes,8,282747,-8874296.83475866,5395002.11300686
16,CC-FDC-001,Barondale (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,200 Barondale Dr,,Mississauga,ON,L5T 2J8,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0858,School-Based Centre,Yes,5,301179,-8867773.22969827,5406619.59127556
17,CC-OTH-062,Circle of Children Academy,Social Services,Child Care (Other),Child Care Centre,2850 Argentia Rd ,9,Mississauga,ON,L5N 8G4,905-826-4184,https://peelchildcare.cioc.ca/record/CDR0581,Community-Based For-Profit Centre,No,9,,-8880535.65853636,5403541.91757881
18,CC-FDC-002,Beryl Ford (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,45 Ironshield Dr,,Brampton,ON,L6P 3N5,416-922-3434,https://peelchildcare.cioc.ca/record/CDR1038,School-Based Centre,Yes,10,260825,-8868768.06743564,5433108.04555366
19,CC-PLP-008,Birchbank (PLASP),Social Services,Child Care (PLASP),Child Care Centre,52 Birchbank Rd,,Brampton,ON,L6T 1L7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1049,School-Based Centre,Yes,7,75029,-8872799.99694007,5419620.248414
20,CC-PLP-009,Bishop Francis Allen (PLASP),Social Services,Child Care (PLASP),Child Care Centre,325 McMurchy Ave S,,Brampton,ON,L6Y 1Z4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0753,School-Based Centre,Yes,3,282705,-8877332.6795513,5413963.21241934
21,CC-PLP-161,St. John XXIII (PLASP),Social Services,Child Care (PLASP),Child Care Centre,915 McBride Ave,,Mississauga,ON,L5C 1M1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1047,School-Based Centre,No,6,218970,-8866029.85711712,5398464.98820561
22,CC-PLP-183,St. Teresa of Calcutta (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1120 Runningbrook Dr,,Mississauga,ON,L4Y 2T2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0691,School-Based Centre,Yes,3,,-8861513.48771241,5405740.74580115
23,CC-OTH-019,Blue Elephant Daycare,Social Services,Child Care (Other),Child Care Centre,1322 Hurontario St,,Mississauga,ON,L5G 3H3,905-891-1279,https://peelchildcare.cioc.ca/record/CDR0577,Community-Based For-Profit Centre,No,1,140228,-8860005.70551983,5397801.97512661
24,CC-YMC-004,Bolton YMCA Child Care,Social Services,Child Care (YMCA),Child Care Centre,12295 Highway 50,Box 812,Caledon,ON,L7E 5T5,905-857-3531 ext 300,https://peelchildcare.cioc.ca/record/CAL0951,Community-Based Non-Profit Centre,No,5,391971,-8872426.95387996,5442955.49834454
25,CC-YMC-035,Kennedy Road North (YMCA),Social Services,Child Care (YMCA),Child Care Centre,9996 Kennedy Rd,,Brampton,ON,L6T 3S1,905-457-6006,https://peelchildcare.cioc.ca/record/CDR0439,Community-Based Non-Profit Centre,No,1,232317,-8880672.38206629,5421438.65125531
26,CC-YMC-005,Brampton YMCA,Social Services,Child Care (YMCA),Child Care Centre,20 Union St,,Brampton,ON,L6V 1R2,905-451-1400 ext 440,https://peelchildcare.cioc.ca/record/CDR0421,Community-Based Non-Profit Centre,No,1,,-8878739.32408757,5417376.62748127
27,CC-PLP-012,Brandon Gate (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3800 Brandon Gate Dr,,Mississauga,ON,L4T 3V9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1045,School-Based Centre,Yes,5,239694,-8865630.12241083,5424146.85678528
28,CC-PLP-013b,Brian W. Fleming Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3255 Havenwood Dr,,Mississauga,ON,L4X 2M2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0516,School-Based Centre,No,3,,-8859604.98092125,5406585.72125623
29,CC-PLP-014,Briarwood (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1065 Mississauga Valley Blvd,,Mississauga,ON,L5A 2A1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0681,School-Based Centre,Yes,4,222727,-8863218.99041072,5404069.56104833
30,CC-OTH-061,Childventures Meadowvale Early Learning Academy Inc.,Social Services,Child Care (Other),Child Care Centre,7030 Royal Bank Dr,,Mississauga,ON,L5N 0B6,905-816-1515,https://peelchildcare.cioc.ca/record/CDR0552,Community-Based For-Profit Centre,No,11,,-8877647.77818215,5405103.29215426
31,CC-OTH-021,Bright Scholars Academy Inc. - Falconer,Social Services,Child Care (Other),Child Care Centre,24 Falconer Dr,,Mississauga,ON,L5N 1B1,905-826-3595,https://peelchildcare.cioc.ca/record/CDR0551,Community-Based For-Profit Centre,No,11,105102,-8875152.70564884,5403016.07641296
32,CC-OTH-022,Bright Scholars Academy Inc. - Kirwin,Social Services,Child Care (Other),Child Care Centre,3180 Kirwin Ave,,Mississauga,ON,L5A 2K7,905-896-4553,https://peelchildcare.cioc.ca/record/CDR1019,Community-Based For-Profit Centre,No,7,,-8863060.25992676,5401465.5155342
