X,Y,OBJECTID,PNT_GIS_ID,NAME,ORG_NAME,CATEGORY,POSTAL_CODE,PHONE_NO,PHONE_EXT,MAIN_INTERSECTION,TYPE,SUBSIDIZED,CWELCC,PROVIDDISP,FULL_ADDRESS,UNIT_NUMBER,COMMUNITY,MUNICIPALITY
607404.3049,4863725.7336,1,213716,The Montessori Country School – Nobleton,1000706718 ONTARIO LIMITED,Child Care Centre,L0G 1N0,(905) 752-8118 ,Ext.375,15th Sideroad & Hwy 27,Centre Based Child Care,Yes,No,THE M08,6185 15th Side Rd Box 455,,Nobleton,King
641594.238,4861106.7747,2,16264,First Academy Montessori East,1347457 Ontario Inc.,Child Care Centre,L6B 1A8,(905) 471-0732,,16th Ave/ 9th Line,Centre Based Child Care,Yes,No,FIRST10,8961 Ninth Line,,Markham,Markham
625991.125,4856044.75,3,115343,Kidz World Childcare Centre - Richmond Hill,2046508 Ontario Inc.,Child Care Centre,L4C 6V6,(905) 881-2713,,Yonge Street & Rutherford Road,Centre Based Child Care,Yes,Yes,KIDZ 04,6 Scott Drive ,Unit 101,Richmond Hill,Richmond Hill
618899.7968,4854586.6884,4,392134,Goodness Childcare Centre,2411544 Ontario Inc.,Child Care Centre,L4K 0H1,(905) 553-8900,,Melville Road & Rutherford Road,Centre Based Child Care,Yes,Yes,GOODN01,"2620 Rutherford Road, ",Unit 101,Vaughan,Vaughan
608290.2986,4861945.8492,5,155166,Little Bears Child Care,2432398 Ontario Inc.,Child Care Centre,L0G 1N0,(437) 427-8678,,King Road and Hwy 27,Centre Based Child Care,Yes,Yes,LITTL30,5970 King Road ,Unit 1,Nobleton,King
623373.125,4851684.75,6,189297,Mini Einstein Daycare,2710010 Ontario Inc.,Child Care Centre,L4J 3M9,(905) 597-6464,,Dufferin Street & Centre Street,Centre Based Child Care,Yes,Yes,MINI 01,1238 Centre Street,,Vaughan,Vaughan
626183.6027,4857307.2048,7,352322,Open Arms Nursery,798518 Ontario Inc.,Child Care Centre,L4C 0A4,(905) 508-1000,,Yonge /16th Avenue,Centre Based Child Care,Yes,Yes,OPEN 02,31 Marshall Street,,Richmond Hill,Richmond Hill
618165.6536,4865242.0156,8,213682,Kidz World Child Care Centre -  King,804762 Ontario Limited,Child Care Centre,L7B 1G1,(905) 833-0868,,Keele Street & King Road,Centre Based Child Care,Yes,Yes,KIDZ 03,13097 Keele Street North,,King City,King
630457.6252,4856210.9154,9,113706,Academia Concept Educational Centre,Academia Concept Educational Centre,Child Care Centre,L4B 1J8,(647) 478-6788,,Hwy 7 & Leslie St,Centre Based Child Care,Yes,Yes,ACADE03,"100 York Blvd, ",Unit 100,Richmond  Hill,Richmond Hill
639141.2339,4863026.9777,10,353563,ACE MONTESSORI,,Child Care Centre,L3P 3J3,(905) 472-9899,,Major Mackenzie Drive East & Markham Road,Centre Based Child Care,Yes,Yes,ACE M01,9899 Markham Road,,Markham,Markham
625908.25,4856590.0,11,112612,Active Kidz Daycare Centre,Active Kidz Daycare Centre Inc.,Child Care Centre,L4C 7A2,(905) 764-8787,,Yonge Street & 16th Avenue,Centre Based Child Care,Yes,Yes,ACTIV01,9206 Yonge Street 2nd Floor,,Richmond Hill,Richmond Hill
623445.2458,4855893.9903,12,234377,Advanced Care & Education Inc. (Thornhill),Advanced Care & Education Daycare Inc. (Thornhill),Child Care Centre,L6A 1S2,(905) 764-9555,,Bathurst Street & Rutherford Road,Centre Based Child Care,Yes,Yes,ADVAN06,941 Rutherford Road,,Maple,Vaughan
637067.7187,4854357.7375,13,42609,Upper Canada Child Care at Aldergrove PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3R 6Z8,(905) 470-4029,,Denison Street & Old Kennedy Road,Centre Based Child Care,Yes,Yes,UPPER02,150 Aldergrove Drive,,Unionville,Markham
620253.608,4879116.145,14,340597,Alexander Muir YMCA Child Care,YMCA of Greater Toronto,Child Care Centre,L3X 3G1,(905) 868-9622,,Yonge Street & Davis Drive,Centre Based Child Care,Yes,Yes,ALEXA02,75 Ford Wilson Boulevard,,Newmarket,Newmarket
641912.011,4861161.6416,15,353462,All About Kids Day Care,All About Kids Inc.,Child Care Centre,L6B 1B6,(905) 201-1706,,Ninth Line North of Highway 7,Centre Based Child Care,Yes,Yes,ALL A01,17 Cornell Meadows Avenue ,Unit 1 & 2,Markham,Markham
641920.0223,4861118.4586,16,293534,All About Kids - Cornell 2,All About Kids Inc.,Child Care Centre,L6B 1B6,(905) 201-1706,,9th Line Cornell Park Avenue,Centre Based Child Care,Yes,Yes,ALL A02,96 Cornell Park Drive ,Unit 3,Markham,Markham
641226.625,4862676.25,17,37063,All Smiles Childcare Centre,2123569 Ontario Ltd.,Child Care Centre,L6E 1K7,(905) 294-1144,,9th Line & Bur Oak Avenue,Centre Based Child Care,Yes,Yes,ALL S01,8 Green Hollow Court,,Markham,Markham
634789.5966,4854376.9529,18,57468,All Saints' Montessori School,The Churchwardens of the Church of All Saints in the Town of Markham,Child Care Centre,L3R 0Z4,(905) 946-1586,,Warden Avenue & Denison Street,Centre Based Child Care,Yes,Yes,ALL S03,1100 Denison Street,,Markham,Markham
